Optimizer,objfname,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10
GWO,teamSizeModel,100.0,71.84461868229502,79.8222364103885,70.17352590624418,57.78445696864587,52.02717229964091,53.16071075612292,40.354355539656424,37.8808266054087,38.98661089865211
GWO,teamSizeModel,100.0,100.0,79.85516328200548,52.28188945919807,45.2983054377743,37.10889533586252,35.991430484266886,31.427115971137386,32.32672468942941,29.419183218031677
GWO,teamSizeModel,100.0,88.95189718269117,69.01239666988494,56.86910456023622,38.13062422307065,45.780112538015736,40.14141100578551,30.64950322246771,28.89908446514627,31.528621128068536
GWO,teamSizeModel,100.0,81.94140714492758,62.283552276156605,58.761442160384384,42.91661374645332,42.42501180449924,43.314873547530034,36.66580171236642,46.83387225860632,46.6020726087609
GWO,teamSizeModel,100.0,79.26583911041213,46.50114283923629,41.83810303254583,40.03915700815806,47.04310718961112,43.43850766125172,39.247003669305734,33.952119285816906,33.52267290546111
GWO,teamSizeModel,100.0,81.43705514092537,54.050728940916734,44.25475868425405,43.777865349476706,31.508972397154185,29.708230002215398,29.413376596304673,29.2689411597861,30.357548480884
GWO,teamSizeModel,100.0,76.09149714612272,63.024226785968665,45.46207227244467,37.87294197421022,30.464409699995116,30.351368714590425,31.039647850575196,26.118017255263297,25.972033852514333
GWO,teamSizeModel,100.0,100.0,88.08144430574077,50.36511859165503,56.88307873695307,54.44279662325523,37.17459439464761,39.09748048063917,34.21120644988172,34.77999070784406
GWO,teamSizeModel,100.0,75.93000771248592,57.614519025069114,36.612795575002664,34.76352918395151,30.23817869407386,29.643672769705226,30.862675216101724,29.72926132148667,29.570311153892575
GWO,teamSizeModel,100.0,50.623904096666216,60.042011408772844,52.87941056880956,37.15983274903215,34.42848915814999,30.921550328384207,26.759035095756794,29.611553402301627,25.408775028857853
GWO,teamSizeModel,100.0,74.24605342882693,74.19109073797381,82.87912179925522,89.73768043642585,58.23620676461293,59.19216499480815,49.412731929443495,43.567547904877145,37.931663770032685
GWO,teamSizeModel,100.0,97.21214338185689,75.48344152436924,59.43791433668654,44.62128539945731,28.73963689789066,27.531847143306905,26.072674392456108,25.714597544338343,24.861430520366408
GWO,teamSizeModel,100.0,92.38016040112169,80.14521176684029,54.47080377130712,59.89437516964961,42.54721134056667,29.971857500837128,28.461718542532804,26.47268019363102,29.161963144845952
GWO,teamSizeModel,100.0,63.88050396172969,43.08324635584978,43.97621141798115,34.2245119226145,28.349322830682038,24.33676912766869,24.78813619209693,23.59576732570554,23.498257567097593
GWO,teamSizeModel,100.0,83.31453184391086,89.34111660797123,67.72968149854636,62.53558259596213,41.37103406861802,53.89407291732644,42.14350944621474,37.698903182720244,35.21485219575427
GWO,teamSizeModel,100.0,100.0,81.282739885822,43.81772852613089,40.78106951669276,44.1642967372208,37.98447448494884,33.67277084264094,30.324758731542083,34.12884945500458
GWO,teamSizeModel,100.0,84.78095533396562,83.05627923169435,49.06968627543823,46.81818097512496,43.10803260693937,45.66222903694273,36.45231900092727,33.18922483293563,35.54180173883748
GWO,teamSizeModel,100.0,68.12092453249782,73.51455960722663,65.61673681923085,49.193303683981945,39.27866984609831,27.674463575167117,22.304617123293703,24.997083083306507,25.347530112688627
FA,teamSizeModel,100.0,71.37888946367325,54.37050722733778,44.703323777186135,39.72052943197439,33.35971544928872,30.65718671787708,27.447584015751353,26.52697877344206,27.059576601742403
FA,teamSizeModel,100.0,79.55786786953418,58.799891637481686,46.33407642168686,34.11349994614512,27.42228416438463,26.137809706278826,26.141935315410002,24.857774194706554,24.876208878545853
FA,teamSizeModel,100.0,68.92887357888007,49.85091314189631,37.75496753773395,28.420349305656217,26.241854214338566,22.66763767006614,21.933007442427936,21.33587719032661,21.331168760152913
FA,teamSizeModel,100.0,79.10066160513696,60.23097581437942,50.01634813104733,40.281481655906354,31.93076774431114,28.466757017949675,26.292406981726717,24.25584139191239,22.201690894701294
FA,teamSizeModel,100.0,85.648068694872,54.46875776207247,41.89703913419344,31.88481911779921,28.821904548545252,27.306243600423052,26.776500415145932,25.66563904362286,25.56542334489394
FA,teamSizeModel,100.0,72.97067164502941,64.97519752704775,47.28180400088079,35.16628330747825,28.66936945978128,28.938923297396858,28.246176383381233,28.579813743994524,27.99731198505632
FA,teamSizeModel,100.0,88.9631872639812,59.25018823735798,43.35558230749737,38.044408054506654,36.4773976073143,34.45518187460845,31.96304543038136,31.22076772262516,31.090548363965386
FA,teamSizeModel,100.0,72.07958325598382,58.01751957400858,43.15200512459526,30.57764881130937,30.022177192849636,28.30747320408556,27.273382143888835,24.188489700813633,22.282995471689652
FA,teamSizeModel,100.0,60.40674425420267,45.63826752736985,29.825895872390046,26.871291386869316,25.57303924669657,25.567634913557818,25.567357120732936,25.36143687581057,25.156905595012656
FA,teamSizeModel,100.0,76.57146411680117,58.71817733241777,48.47187907030573,36.9798665085401,28.23753245572273,26.556062090021836,25.598764802174422,24.714649163784465,24.711112050727355
FA,teamSizeModel,100.0,68.55374122249718,52.42367412638499,39.75257754283946,27.281632386012127,23.801835804182886,22.800940444468402,21.916846159047356,21.43187980501363,21.476250390632792
FA,teamSizeModel,100.0,71.99793274197151,53.01199619136939,40.42993245340117,34.015611405244144,31.038560830186963,27.063255981148398,26.645550450984413,24.719418232295375,24.709952628446448
FA,teamSizeModel,100.0,69.88865656824707,53.119959205142365,40.40805061329789,29.524942240260355,27.213930478265702,26.38499250961916,25.535472947959796,25.12336823369241,25.126354680078787
FA,teamSizeModel,100.0,80.62450596283655,60.48067568294429,41.795677710207016,36.54096239776267,33.86050901646984,29.129956715031234,28.26960465808041,27.234405778207282,26.89037399878018
FA,teamSizeModel,100.0,80.11149186133251,57.21016270790192,40.96725775343397,31.11631287516074,29.116616504016424,26.615757215655613,26.62449910880607,26.753149857202107,26.698945444860104
FA,teamSizeModel,100.0,67.4861967468379,56.30273093197024,47.0484619345534,33.439626855107015,27.31404612558526,24.001197360592897,24.352244807423183,24.15493646587528,22.672993046717117
FA,teamSizeModel,100.0,81.48974026633236,67.45287487337657,54.158720192896794,40.988146701807516,30.162403921790915,24.750603160898628,23.041879091750904,22.082404220037603,20.50812057845709
FA,teamSizeModel,100.0,62.34527879704266,43.559009820256236,35.42266267307436,31.364453818471315,28.157457969367467,26.08356367115143,25.207336139120827,24.99665167464421,24.944452470152385
FA,teamSizeModel,100.0,74.71993255385853,52.25534439431093,38.34108948755449,31.094385825147974,29.256038416609524,27.38237945404206,26.726351958255094,26.403610794226896,26.179452190611034
FA,teamSizeModel,100.0,69.96985796458469,50.94998242295461,42.70638101326634,39.40607867230377,36.857308453934124,35.66577810417,31.719103427333156,29.91160712324724,28.72828334013049
